kostenklasse	anteil_erkr
100	5.6%
200	12.6%
300	18.5%
400	23.1%
500	27.2%
600	30.7%
700	33.9%
800	36.8%
900	39.5%
1000	41.9%
1100	44.1%
1200	46.2%
1300	48.2%
1400	50.0%
1500	51.7%
1600	53.4%
1700	55.0%
1800	56.5%
1900	57.9%
2000	59.2%
2100	60.5%
2200	61.7%
2300	62.9%
2400	64.0%
2500	65.1%
2600	66.1%
2700	67.1%
2800	68.0%
2900	68.9%
3000	69.8%
3100	70.6%
3200	71.4%
3300	72.1%
3400	72.9%
3500	73.6%
3600	74.2%
3700	74.9%
3800	75.5%
3900	76.1%
4000	76.7%
4100	77.2%
4200	77.7%
4300	78.3%
4400	78.7%
4500	79.2%
4600	79.6%
4700	80.1%
4800	80.5%
4900	80.9%
5000	81.3%
5100	81.7%
5200	82.0%
5300	82.4%
5400	82.7%
5500	83.1%
5600	83.4%
5700	83.7%
5800	84.0%
5900	84.3%
6000	84.6%
6100	84.8%
6200	85.1%
6300	85.3%
6400	85.6%
6500	85.8%
6600	86.0%
6700	86.3%
6800	86.5%
6900	86.7%
7000	86.9%
7100	87.1%
7200	87.3%
7300	87.5%
7400	87.7%
7500	87.9%
7600	88.0%
7700	88.2%
7800	88.4%
7900	88.5%
8000	88.7%
8100	88.8%
8200	89.0%
8300	89.1%
8400	89.3%
8500	89.4%
8600	89.6%
8700	89.7%
8800	89.8%
8900	90.0%
9000	90.1%
9100	90.2%
9200	90.5%
9300	90.5%
9400	90.6%
9500	90.7%
9600	90.8%
9700	90.9%
9800	91.0%
9900	91.1%
10000	91.2%
10100	91.3%
10200	91.5%
10300	91.6%
10400	91.6%
10500	91.7%
10600	91.8%
10700	91.9%
10800	92.0%
10900	92.1%
11000	92.2%
11100	92.3%
11200	92.4%
11300	92.5%
11400	92.6%
11500	92.6%
11600	92.7%
11700	92.8%
11800	92.9%
11900	92.9%
12000	93.0%
12100	93.1%
12200	93.1%
12300	93.2%
12400	93.3%
12500	93.3%
12600	93.4%
12700	93.5%
12800	93.5%
12900	93.6%
13000	93.6%
13100	93.7%
13200	93.8%
13300	93.8%
13400	93.9%
13500	93.9%
13600	94.0%
13700	94.1%
13800	94.1%
13900	94.2%
14000	94.2%
14100	94.3%
14200	94.3%
14300	94.4%
14400	94.4%
14500	94.5%
14600	94.5%
14700	94.6%
14800	94.6%
14900	94.7%
15000	94.7%
15100	94.8%
15200	94.8%
15300	94.9%
15400	94.9%
15500	94.9%
15600	95.0%
15700	95.0%
15800	95.1%
15900	95.1%
16000	95.2%
16100	95.2%
16200	95.2%
16300	95.3%
16400	95.3%
16500	95.4%
16600	95.4%
16700	95.4%
16800	95.5%
16900	95.5%
17000	95.6%
17100	95.6%
17200	95.6%
17300	95.7%
17400	95.7%
17500	95.7%
17600	95.8%
17700	95.8%
17800	95.9%
17900	95.9%
18000	95.9%
18100	96.0%
18200	96.0%
18300	96.0%
18400	96.1%
18500	96.1%
18600	96.2%
18700	96.2%
18800	96.2%
18900	96.3%
19000	96.3%
19100	96.3%
19200	96.4%
19300	96.4%
19400	96.4%
19500	96.5%
19600	96.5%
19700	96.5%
19800	96.6%
19900	96.6%
20000	96.6%
20100	96.8%
20200	96.8%
20300	96.8%
20400	96.9%
20500	96.9%
20600	96.9%
20700	97.0%
20800	97.0%
20900	97.0%
21000	97.0%
21100	97.1%
21200	97.1%
21300	97.1%
21400	97.2%
21500	97.2%
21600	97.2%
21700	97.2%
21800	97.3%
21900	97.3%
22000	97.3%
22100	97.4%
22200	97.4%
22300	97.4%
22400	97.4%
22500	97.5%
22600	97.5%
22700	97.5%
22800	97.5%
22900	97.6%
23000	97.6%
23100	97.6%
23200	97.6%
23300	97.6%
23400	97.7%
23500	97.7%
23600	97.7%
23700	97.7%
23800	97.8%
23900	97.8%
24000	97.8%
24100	97.8%
24200	97.8%
24300	97.9%
24400	97.9%
24500	97.9%
24600	97.9%
24700	97.9%
24800	98.0%
24900	98.0%
25000	98.0%
25100	98.0%
25200	98.0%
25300	98.1%
25400	98.1%
25500	98.1%
25600	98.1%
25700	98.1%
25800	98.2%
25900	98.2%
26000	98.2%
26100	98.2%
26200	98.2%
26300	98.2%
26400	98.3%
26500	98.3%
26600	98.3%
26700	98.3%
26800	98.3%
26900	98.4%
27000	98.4%
27100	98.4%
27200	98.4%
27300	98.4%
27400	98.5%
27500	98.5%
27600	98.5%
27700	98.5%
27800	98.5%
27900	98.5%
28000	98.6%
28100	98.6%
28200	98.6%
28300	98.6%
28400	98.6%
28500	98.6%
28600	98.7%
28700	98.7%
28800	98.7%
28900	98.7%
29000	98.7%
29100	98.8%
29200	98.8%
29300	98.8%
29400	98.8%
29500	98.8%
29600	98.8%
29700	98.8%
29800	98.9%
29900	98.9%
30000	98.9%
40000	100.0%
