kt	apoth sd
AG	 0.24172 	 0.105 
AI	 0.06691 	 0.404 
AR	 0.09289 	 0.401 
BE	 0.23569 	 0.297 
BL	 0.17064 	 0.345 
BS	 0.51268 	 0.035 
FR	 0.34440 	 0.062 
GE	 0.53794 	 0.016 
GL	 0.10282 	 0.451 
GR	 0.23274 	 0.273 
JU	 0.28567 	 0.074 
LU	 0.12922 	 0.449 
NE	 0.39130 	 0.035 
NW	 0.05185 	 0.454 
OW	 0.05952 	 0.489 
SG	 0.14378 	 0.409 
SH	 0.23899 	 0.234 
SO	 0.14531 	 0.408 
SZ	 0.11291 	 0.425 
TG	 0.13397 	 0.422 
TI	 0.64945 	 0.033 
UR	 0.05632 	 0.493 
VD	 0.50443 	 0.016 
VS	 0.45659 	 0.050 
ZG	 0.18781 	 0.358 
ZH	 0.24387 	 0.245 
